crsCode,subArea,year,crsNum,subName,grade,prName,crsTime,room
CES104-48,공통교육,1,CES104-48,ApproachestoEnglishCommunication2,1,벤그리핀,월5.0-6.5,A318
CES104-49,공통교육,1,CES104-49,ApproachestoEnglishCommunication2,1,덜멋커피,월5.0-6.5,A214
CES104-50,공통교육,1,CES104-50,ApproachestoEnglishCommunication2,1,존웬델,월3.0-4.5,A327
CES104-51,공통교육,1,CES104-51,ApproachestoEnglishCommunication2,1,크리스,월1.0-2.5,A213
CES104-52,공통교육,1,CES104-52,ApproachestoEnglishCommunication2,1,킹슬리,월1.0-2.5,A318
CES106-02,공통교육,1,CES106-02,SpeakingandCommunication2,1,캐서린,화5.0-6.5,A311
CES108-01,공통교육,1,CES108-01,BasicEnglishCommunication2,1,버지니아홀테,금5.0-6.5,A311
CES108-02,공통교육,1,CES108-02,BasicEnglishCommunication2,1,패트리샤,금3.0-4.5,A314
CES108-03,공통교육,1,CES108-03,BasicEnglishCommunication2,1,필빅터,금3.0-4.5,A311
CES108-04,공통교육,1,CES108-04,BasicEnglishCommunication2,1,덜멋커피,금1.0-2.5,A313
CES108-05,공통교육,1,CES108-05,BasicEnglishCommunication2,1,케네스,금1.0-2.5,A314
CES108-06,공통교육,1,CES108-06,BasicEnglishCommunication2,1,테레사메이,목7.0-8.5,A311
CES108-07,공통교육,1,CES108-07,BasicEnglishCommunication2,1,패트리샤,목5.0-6.5,A314
CES108-08,공통교육,1,CES108-08,BasicEnglishCommunication2,1,테레사메이,목5.0-6.5,A311
CES108-09,공통교육,1,CES108-09,BasicEnglishCommunication2,1,베쓰무어,목3.0-4.5,A311
CES108-10,공통교육,1,CES108-10,BasicEnglishCommunication2,1,버지니아홀테,목3.0-4.5,A310
CES108-11,공통교육,1,CES108-11,BasicEnglishCommunication2,1,버지니아홀테,목1.0-2.5,A310
CES108-12,공통교육,1,CES108-12,BasicEnglishCommunication2,1,캐서린,수7.0-8.5,A311
CES108-13,공통교육,1,CES108-13,BasicEnglishCommunication2,1,크리스,수5.0-6.5,A213
CES108-14,공통교육,1,CES108-14,BasicEnglishCommunication2,1,존버클리,수5.0-6.5,A326
CES108-15,공통교육,1,CES108-15,BasicEnglishCommunication2,1,크리스,수3.0-4.5,A213
CES108-16,공통교육,1,CES108-16,BasicEnglishCommunication2,1,필빅터,수3.0-4.5,A311
